GEO_ID,NAME,H1_001N,H1_002N,H1_003N
0500000US27001,"Aitkin County, Minnesota",13944,7199,6745
0500000US27003,"Anoka County, Minnesota",138017,133879,4138
0500000US27005,"Becker County, Minnesota",19620,14371,5249
0500000US27007,"Beltrami County, Minnesota",21271,17678,3593
0500000US27009,"Benton County, Minnesota",17315,16479,836
0500000US27011,"Big Stone County, Minnesota",2982,2224,758
0500000US27013,"Blue Earth County, Minnesota",29169,27193,1976
0500000US27015,"Brown County, Minnesota",11780,10970,810
0500000US27017,"Carlton County, Minnesota",15688,13789,1899
0500000US27019,"Carver County, Minnesota",40380,38863,1517
0500000US27021,"Cass County, Minnesota",23872,12614,11258
0500000US27023,"Chippewa County, Minnesota",5627,5150,477
0500000US27025,"Chisago County, Minnesota",22294,20900,1394
0500000US27027,"Clay County, Minnesota",26844,24931,1913
0500000US27029,"Clearwater County, Minnesota",4448,3487,961
0500000US27031,"Cook County, Minnesota",5936,2711,3225
0500000US27033,"Cottonwood County, Minnesota",5152,4671,481
0500000US27035,"Crow Wing County, Minnesota",41568,27872,13696
0500000US27037,"Dakota County, Minnesota",173469,168008,5461
0500000US27039,"Dodge County, Minnesota",8291,7903,388
0500000US27041,"Douglas County, Minnesota",21769,16557,5212
0500000US27043,"Faribault County, Minnesota",6916,6086,830
0500000US27045,"Fillmore County, Minnesota",9583,8605,978
0500000US27047,"Freeborn County, Minnesota",14114,13076,1038
0500000US27049,"Goodhue County, Minnesota",20864,19499,1365
0500000US27051,"Grant County, Minnesota",3155,2540,615
0500000US27053,"Hennepin County, Minnesota",555779,528547,27232
0500000US27055,"Houston County, Minnesota",8731,8013,718
0500000US27057,"Hubbard County, Minnesota",14705,8885,5820
0500000US27059,"Isanti County, Minnesota",16550,15615,935
0500000US27061,"Itasca County, Minnesota",25375,18968,6407
0500000US27063,"Jackson County, Minnesota",4891,4307,584
0500000US27065,"Kanabec County, Minnesota",7735,6530,1205
0500000US27067,"Kandiyohi County, Minnesota",19950,17079,2871
0500000US27069,"Kittson County, Minnesota",2272,1846,426
0500000US27071,"Koochiching County, Minnesota",7402,5604,1798
0500000US27073,"Lac qui Parle County, Minnesota",3471,2954,517
0500000US27075,"Lake County, Minnesota",7311,4869,2442
0500000US27077,"Lake of the Woods County, Minnesota",3391,1745,1646
0500000US27079,"Le Sueur County, Minnesota",12811,11287,1524
0500000US27081,"Lincoln County, Minnesota",3051,2452,599
0500000US27083,"Lyon County, Minnesota",11180,10137,1043
0500000US27085,"McLeod County, Minnesota",15820,15004,816
0500000US27087,"Mahnomen County, Minnesota",2550,2014,536
0500000US27089,"Marshall County, Minnesota",4416,3836,580
0500000US27091,"Martin County, Minnesota",9748,8748,1000
0500000US27093,"Meeker County, Minnesota",10576,9263,1313
0500000US27095,"Mille Lacs County, Minnesota",12786,10593,2193
0500000US27097,"Morrison County, Minnesota",16074,13688,2386
0500000US27099,"Mower County, Minnesota",16928,15700,1228
0500000US27101,"Murray County, Minnesota",4388,3581,807
0500000US27103,"Nicollet County, Minnesota",13371,12728,643
0500000US27105,"Nobles County, Minnesota",8394,7851,543
0500000US27107,"Norman County, Minnesota",3230,2733,497
0500000US27109,"Olmsted County, Minnesota",69270,65242,4028
0500000US27111,"Otter Tail County, Minnesota",36506,25123,11383
0500000US27113,"Pennington County, Minnesota",6639,6077,562
0500000US27115,"Pine County, Minnesota",16886,11442,5444
0500000US27117,"Pipestone County, Minnesota",4337,3948,389
0500000US27119,"Polk County, Minnesota",14623,12534,2089
0500000US27121,"Pope County, Minnesota",6367,4862,1505
0500000US27123,"Ramsey County, Minnesota",228546,218077,10469
0500000US27125,"Red Lake County, Minnesota",1876,1653,223
0500000US27127,"Redwood County, Minnesota",7086,6318,768
0500000US27129,"Renville County, Minnesota",6913,6153,760
0500000US27131,"Rice County, Minnesota",25018,23416,1602
0500000US27133,"Rock County, Minnesota",4222,3892,330
0500000US27135,"Roseau County, Minnesota",7137,6340,797
0500000US27137,"St. Louis County, Minnesota",103681,86540,17141
0500000US27139,"Scott County, Minnesota",54658,52645,2013
0500000US27141,"Sherburne County, Minnesota",35909,34035,1874
0500000US27143,"Sibley County, Minnesota",6454,5989,465
0500000US27145,"Stearns County, Minnesota",65684,60448,5236
0500000US27147,"Steele County, Minnesota",15691,14823,868
0500000US27149,"Stevens County, Minnesota",4213,3697,516
0500000US27151,"Swift County, Minnesota",4693,4064,629
0500000US27153,"Todd County, Minnesota",12770,9898,2872
0500000US27155,"Traverse County, Minnesota",1877,1439,438
0500000US27157,"Wabasha County, Minnesota",10158,8923,1235
0500000US27159,"Wadena County, Minnesota",6939,5815,1124
0500000US27161,"Waseca County, Minnesota",7895,7387,508
0500000US27163,"Washington County, Minnesota",104014,99507,4507
0500000US27165,"Watonwan County, Minnesota",4874,4476,398
0500000US27167,"Wilkin County, Minnesota",2972,2735,237
0500000US27169,"Winona County, Minnesota",21716,20111,1605
0500000US27171,"Wright County, Minnesota",54467,50509,3958
0500000US27173,"Yellow Medicine County, Minnesota",4513,4040,473
1400000US27001770100,"Census Tract 7701, Aitkin County, Minnesota",2446,1041,1405
1400000US27001770200,"Census Tract 7702, Aitkin County, Minnesota",1988,1027,961
1400000US27001770300,"Census Tract 7703, Aitkin County, Minnesota",1723,1424,299
1400000US27001770401,"Census Tract 7704.01, Aitkin County, Minnesota",1692,618,1074
1400000US27001770402,"Census Tract 7704.02, Aitkin County, Minnesota",1227,692,535
1400000US27001790501,"Census Tract 7905.01, Aitkin County, Minnesota",1965,907,1058
1400000US27001790503,"Census Tract 7905.03, Aitkin County, Minnesota",1798,856,942
1400000US27001790504,"Census Tract 7905.04, Aitkin County, Minnesota",1105,634,471
1400000US27003050107,"Census Tract 501.07, Anoka County, Minnesota",1140,1102,38
1400000US27003050108,"Census Tract 501.08, Anoka County, Minnesota",2013,1961,52
1400000US27003050109,"Census Tract 501.09, Anoka County, Minnesota",1991,1933,58
1400000US27003050110,"Census Tract 501.10, Anoka County, Minnesota",1003,989,14
1400000US27003050111,"Census Tract 501.11, Anoka County, Minnesota",1430,1340,90
1400000US27003050114,"Census Tract 501.14, Anoka County, Minnesota",1101,1066,35
1400000US27003050115,"Census Tract 501.15, Anoka County, Minnesota",2063,2012,51
1400000US27003050116,"Census Tract 501.16, Anoka County, Minnesota",1556,1510,46
1400000US27003050208,"Census Tract 502.08, Anoka County, Minnesota",1121,1105,16
1400000US27003050210,"Census Tract 502.10, Anoka County, Minnesota",1594,1553,41
1400000US27003050215,"Census Tract 502.15, Anoka County, Minnesota",1559,1529,30
1400000US27003050216,"Census Tract 502.16, Anoka County, Minnesota",1961,1934,27
1400000US27003050217,"Census Tract 502.17, Anoka County, Minnesota",1128,1095,33
1400000US27003050218,"Census Tract 502.18, Anoka County, Minnesota",1150,1121,29
1400000US27003050219,"Census Tract 502.19, Anoka County, Minnesota",1047,1034,13
1400000US27003050220,"Census Tract 502.20, Anoka County, Minnesota",2361,2304,57
1400000US27003050222,"Census Tract 502.22, Anoka County, Minnesota",1814,1777,37
1400000US27003050223,"Census Tract 502.23, Anoka County, Minnesota",1032,996,36
1400000US27003050224,"Census Tract 502.24, Anoka County, Minnesota",1309,1296,13
1400000US27003050226,"Census Tract 502.26, Anoka County, Minnesota",1173,1127,46
1400000US27003050227,"Census Tract 502.27, Anoka County, Minnesota",1572,1552,20
1400000US27003050228,"Census Tract 502.28, Anoka County, Minnesota",2724,2528,196
1400000US27003050229,"Census Tract 502.29, Anoka County, Minnesota",1531,1516,15
1400000US27003050230,"Census Tract 502.30, Anoka County, Minnesota",925,892,33
1400000US27003050232,"Census Tract 502.32, Anoka County, Minnesota",1429,1411,18
1400000US27003050233,"Census Tract 502.33, Anoka County, Minnesota",1136,1080,56
1400000US27003050234,"Census Tract 502.34, Anoka County, Minnesota",1188,1162,26
1400000US27003050235,"Census Tract 502.35, Anoka County, Minnesota",1142,1093,49
1400000US27003050236,"Census Tract 502.36, Anoka County, Minnesota",1448,1427,21
1400000US27003050237,"Census Tract 502.37, Anoka County, Minnesota",2095,2042,53
1400000US27003050238,"Census Tract 502.38, Anoka County, Minnesota",1459,1443,16
1400000US27003050239,"Census Tract 502.39, Anoka County, Minnesota",925,903,22
1400000US27003050240,"Census Tract 502.40, Anoka County, Minnesota",1132,1108,24
1400000US27003050241,"Census Tract 502.41, Anoka County, Minnesota",1005,984,21
1400000US27003050401,"Census Tract 504.01, Anoka County, Minnesota",1233,1199,34
1400000US27003050402,"Census Tract 504.02, Anoka County, Minnesota",1728,1656,72
1400000US27003050501,"Census Tract 505.01, Anoka County, Minnesota",1612,1538,74
1400000US27003050504,"Census Tract 505.04, Anoka County, Minnesota",1136,1108,28
1400000US27003050505,"Census Tract 505.05, Anoka County, Minnesota",2128,2077,51
1400000US27003050602,"Census Tract 506.02, Anoka County, Minnesota",911,887,24
1400000US27003050605,"Census Tract 506.05, Anoka County, Minnesota",2347,2282,65
1400000US27003050606,"Census Tract 506.06, Anoka County, Minnesota",874,854,20
1400000US27003050607,"Census Tract 506.07, Anoka County, Minnesota",1838,1802,36
1400000US27003050608,"Census Tract 506.08, Anoka County, Minnesota",2124,2061,63
1400000US27003050609,"Census Tract 506.09, Anoka County, Minnesota",1598,1583,15
1400000US27003050611,"Census Tract 506.11, Anoka County, Minnesota",1575,1528,47
